207,Rowing Men's Coxed Fours,Rowing
208,Cycling Men's 100 kilometres Team Time Trial,Cycling
209,Rhythmic Gymnastics Women's Group,Rhythmic Gymnastics
210,"Art Competitions Mixed Architecture, Designs For Town Planning",Art Competitions
211,"Art Competitions Mixed Architecture, Architectural Designs",Art Competitions
212,Gymnastics Women's Individual All-Around,Gymnastics
213,Gymnastics Women's Team All-Around,Gymnastics
214,Gymnastics Women's Floor Exercise,Gymnastics
215,Gymnastics Women's Horse Vault,Gymnastics
216,Gymnastics Women's Uneven Bars,Gymnastics
217,Gymnastics Women's Balance Beam,Gymnastics
218,Diving Women's Springboard,Diving
219,Diving Women's Synchronized Springboard,Diving
220,"Athletics Women's 10,000 metres",Athletics
221,Sailing Mixed 7 metres,Sailing
222,Judo Women's Half-Middleweight,Judo
223,Athletics Men's Decathlon,Athletics
224,Biathlon Men's 10 kilometres Sprint,Biathlon
225,Biathlon Men's 20 kilometres,Biathlon
226,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon
227,Freestyle Skiing Men's Moguls,Freestyle Skiing
228,"Wrestling Men's Middleweight A, Greco-Roman",Wrestling
229,Athletics Women's Discus Throw,Athletics
230,Swimming Women's 4 x 100 metres Freestyle Relay,Swimming
231,"Athletics Women's 1,500 metres",Athletics
232,"Shooting Women's Air Pistol, 10 metres",Shooting
233,"Shooting Women's Sporting Pistol, 25 metres",Shooting
234,"Canoeing Men's Kayak Doubles, 500 metres",Canoeing
235,"Canoeing Men's Kayak Singles, 500 metres",Canoeing
236,"Canoeing Men's Kayak Singles, 1,000 metres",Canoeing
237,"Shooting Men's Running Target, 50 metres",Shooting
238,Judo Women's Half-Heavyweight,Judo
239,Athletics Women's Pole Vault,Athletics
240,Rugby Sevens Women's Rugby Sevens,Rugby Sevens
241,Table Tennis Men's Team,Table Tennis
242,Figure Skating Mixed Pairs,Figure Skating
243,Freestyle Skiing Men's Aerials,Freestyle Skiing
244,Rowing Women's Coxed Eights,Rowing
245,Athletics Women's 4 x 400 metres Relay,Athletics
246,Alpine Skiing Women's Giant Slalom,Alpine Skiing
247,Alpine Skiing Women's Super G,Alpine Skiing
248,Cross Country Skiing Women's 5 kilometres,Cross Country Skiing
249,Cross Country Skiing Women's 10 kilometres,Cross Country Skiing
250,Cross Country Skiing Women's 20 kilometres,Cross Country Skiing
251,"Cycling Men's 1,000 metres Time Trial",Cycling
252,"Cycling Men's Individual Pursuit, 4,000 metres",Cycling
253,"Wrestling Men's Welterweight, Freestyle",Wrestling
254,"Wrestling Men's Bantamweight, Greco-Roman",Wrestling
255,Rowing Women's Lightweight Double Sculls,Rowing
256,Athletics Women's 800 metres,Athletics
257,Rowing Women's Coxed Quadruple Sculls,Rowing
258,Biathlon Men's 12.5 kilometres Pursuit,Biathlon
259,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Biathlon
260,Rhythmic Gymnastics Women's Individual,Rhythmic Gymnastics
261,"Canoeing Men's Kayak Singles, Slalom",Canoeing
262,Archery Men's Individual,Archery
263,Archery Men's Team,Archery
264,"Speed Skating Women's 1,500 metres",Speed Skating
265,Speed Skating Women's Team Pursuit (6 laps),Speed Skating
266,Cross Country Skiing Men's Sprint,Cross Country Skiing
267,Athletics Women's 400 metres,Athletics
268,Figure Skating Women's Singles,Figure Skating
269,"Speed Skating Men's 1,000 metres",Speed Skating
270,Trampolining Men's Individual,Trampolining
271,Beach Volleyball Men's Beach Volleyball,Beach Volleyball
272,"Cycling Women's Mountainbike, Cross-Country",Cycling
273,"Athletics Men's Javelin Throw, Both Hands",Athletics
274,Triathlon Women's Olympic Distance,Triathlon
275,Gymnastics Women's Team Portable Apparatus,Gymnastics
276,"Cycling Men's Mountainbike, Cross-Country",Cycling
277,Athletics Women's 400 metres Hurdles,Athletics
278,Diving Men's Springboard,Diving
279,"Wrestling Men's Featherweight, Greco-Roman",Wrestling
280,Table Tennis Men's Singles,Table Tennis
281,Art Competitions Mixed Painting,Art Competitions
